method,seed,epoch,successful_updates,test_accuracy,elapsed_system_s
Delay-only Search,1,1,1563,10.13,7439.6372199652205
Delay-only Search,1,2,3126,29.08,14787.7280679688
Delay-only Search,1,3,4689,32.24,22789.419136449185
Delay-only Search,1,4,6252,50.2,32065.044962394404
Delay-only Search,1,5,7815,51.43,39305.99768244379
Delay-only Search,1,6,9378,47.2,46424.825791650364
Delay-only Search,1,7,10941,54.79,54910.422447505705
Delay-only Search,1,8,12504,60.57,60427.678202816714
Delay-only Search,1,9,14067,55.62,67230.69855667246
Delay-only Search,1,10,15630,63.39,74512.92410268716
Delay-only Search,1,11,17193,65.34,82567.22755867275
Delay-only Search,1,12,18756,64.41,89728.8575072782
Delay-only Search,1,13,20319,60.74,98107.88523326769
Delay-only Search,1,14,21882,67.89,106268.48056003067
Delay-only Search,1,15,23445,66.52,112952.68800126086
Delay-only Search,1,16,25008,65.86,121008.493037117
Delay-only Search,1,17,26571,70.07,129266.72648557677
Delay-only Search,1,18,28134,62.93,136282.9160034131
Delay-only Search,1,19,29697,63.67,142102.4718542083
Delay-only Search,1,20,31260,71.52,148988.8275262469
Delay-only Search,1,21,32823,74.75,156607.64559450196
Delay-only Search,1,22,34386,68.44,164547.44933828406
Delay-only Search,1,23,35949,63.34,171251.00993685707
Delay-only Search,1,24,37512,71.73,178180.52242292117
Delay-only Search,1,25,39075,72.41,184618.80090533907
Delay-only Search,1,26,40638,69.88,191060.76467588934
Delay-only Search,1,27,42201,69.42,197673.93217972794
Delay-only Search,1,28,43764,73.21,204721.60122477703
Delay-only Search,1,29,45327,67.5,210729.8616287358
Delay-only Search,1,30,46890,66.43,218239.371526491
Delay-only Search,1,31,48453,72.8,225635.3293211147
Delay-only Search,1,32,50016,76.38,232729.7126052712
Delay-only Search,1,33,51579,69.54,240873.6154271173
Delay-only Search,1,34,53142,60.23,247517.92446378453
Delay-only Search,1,35,54705,71.19,253845.48570111571
Delay-only Search,1,36,56268,70.55,260549.5386886807
Delay-only Search,1,37,57831,75.47,268117.1616100142
Delay-only Search,1,38,59394,67.72,275527.8824115247
Delay-only Search,1,39,60957,73.67,281643.9831400896
Delay-only Search,1,40,62520,73.96,288426.71576771315
Delay-only Search,1,41,64083,74.42,294643.3066082016
Delay-only Search,1,42,65646,74.49,302624.3827972813
Delay-only Search,1,43,67209,65.15,310993.19081686024
Delay-only Search,1,44,68772,73.68,317748.86272865033
Delay-only Search,1,45,70335,70.67,326113.0223537141
Delay-only Search,1,46,71898,72.82,332333.9996015312
Delay-only Search,1,47,73461,75.17,338975.20606572874
Delay-only Search,1,48,75024,76.51,347328.41295202303
Delay-only Search,1,49,76587,77.46,354720.5863207511
Delay-only Search,1,50,78150,79.24,362688.38210144447
Delay-only Search,1,51,79713,77.28,369766.4982221652
Delay-only Search,1,52,81276,80.79,376592.18891699455
Delay-only Search,1,53,82839,79.54,384470.29124887986
Delay-only Search,1,54,84402,74.24,391446.0723729841
Delay-only Search,1,55,85965,76.9,397162.34812564804
Delay-only Search,1,56,87528,81.68,403187.4498869644
Delay-only Search,1,57,89091,80.37,410241.40890047664
Delay-only Search,1,58,90654,79.88,417430.1233854153
Delay-only Search,1,59,92217,78.75,424893.4347262884
Delay-only Search,1,60,93780,76.94,432044.4247639663
Delay-only Search,1,61,95343,81.15,439158.0122939238
Delay-only Search,1,62,96906,79.31,445667.05674611113
Delay-only Search,1,63,98469,83.43,452767.99329256924
Delay-only Search,1,64,100032,79.23,459233.1175590809
Delay-only Search,1,65,101595,79.59,466533.2616462082
Delay-only Search,1,66,103158,84.83,472748.07736809005
Delay-only Search,1,67,104721,82.63,481011.6796157195
Delay-only Search,1,68,106284,84.59,488942.8189061233
Delay-only Search,1,69,107847,81.73,495592.28905777406
Delay-only Search,1,70,109410,84.2,502339.30736754625
Delay-only Search,1,71,110973,85.93,508601.2185164939
Delay-only Search,1,72,112536,84.89,515757.49091200525
Delay-only Search,1,73,114099,86.11,521677.8415932622
Delay-only Search,1,74,115662,84.35,527583.5173408577
Delay-only Search,1,75,117225,83.83,535214.2728436722
Delay-only Search,1,76,118788,87.9,541435.4046868
Delay-only Search,1,77,120351,87.21,548706.8790529451
Delay-only Search,1,78,121914,87.23,556437.2563024126
Delay-only Search,1,79,123477,88.82,564462.9260742692
